"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.821991620E0	-6.958507001E-3	2.643722296E-2	8.336448669E-2	8.773246388E-2
1.831991620E0	-6.930377334E-3	-5.135625601E-3	3.070068359E-2	3.188944580E-2
1.841991620E0	-6.682638079E-3	1.602351665E-3	3.310298920E-2	3.380877218E-2
1.851991420E0	1.010815799E-2	1.115246117E-2	7.141113281E-2	7.298014893E-2
1.861991420E0	4.744865000E-4	-6.055906415E-3	6.423664093E-2	6.452321426E-2
1.871991620E0	2.893730998E-3	1.069472730E-2	5.705451965E-2	5.812029838E-2
1.881991620E0	1.249480247E-2	-3.591328859E-3	5.705261230E-2	5.851511175E-2
1.891991620E0	7.200993598E-3	-1.343071461E-2	8.099651337E-2	8.241767760E-2
1.901991620E0	9.128391743E-3	5.855962634E-3	7.141590118E-2	7.223469233E-2
1.911991620E0	-1.238443330E-2	-3.614664078E-3	6.183719635E-2	6.316865391E-2
1.921991420E0	-5.309339613E-3	1.250684261E-3	5.225849152E-2	5.254239463E-2
1.931991420E0	-3.162357211E-2	-1.308004558E-2	5.225753784E-2	6.246589603E-2
1.941991420E0	4.527717829E-5	-3.197148442E-3	5.464935303E-2	5.474281318E-2
1.951991420E0	-1.874976233E-2	1.911491156E-3	5.703926086E-2	6.007232862E-2
1.961991420E0	-1.521494240E-3	-1.948034763E-2	4.267311096E-2	4.693392470E-2
1.971991220E0	6.051354110E-3	-9.458273649E-3	7.858085632E-2	7.937901995E-2
1.981991420E0	1.819370501E-2	-4.271835089E-3	5.463218689E-2	5.774024005E-2
1.991991420E0	8.646164089E-3	-1.841232181E-3	6.420898438E-2	6.481465856E-2
2.001991420E0	-1.064329594E-2	-8.630767465E-3	4.744148254E-2	4.938080762E-2
2.011991420E0	-1.537485048E-2	6.183385849E-3	7.137584686E-2	7.327435979E-2
2.021991420E0	8.524958044E-3	-8.138060570E-3	4.503917694E-2	4.655566989E-2
2.031991553E0	-8.145283908E-3	-8.180350065E-3	5.701065063E-2	5.816767197E-2
2.041991553E0	-1.297589391E-2	-3.348186612E-3	7.376956940E-2	7.497688674E-2
2.051991553E0	-1.534373686E-2	-3.312468529E-3	7.376956940E-2	7.542116465E-2
2.061991553E0	-2.212018892E-2	1.385703683E-2	4.503345490E-2	5.205124674E-2
2.071991353E0	-2.369750291E-3	1.633997262E-2	1.336193085E-1	1.346355452E-1
2.081991353E0	1.673892513E-2	-9.953185916E-3	7.376384735E-2	7.629130160E-2
2.091991353E0	1.423444971E-2	-1.710361242E-2	3.545570374E-2	4.186000530E-2
2.101991353E0	-7.342010736E-3	-9.957149625E-3	4.742717743E-2	4.901415213E-2
2.111991353E0	-4.767518491E-3	-1.163840294E-2	7.135772705E-2	7.245762117E-2
2.121991553E0	-1.677560061E-2	1.472300291E-2	5.938625336E-2	6.344221527E-2
2.131991553E0	-4.851631820E-3	3.870761395E-2	6.896209717E-2	7.923123471E-2
2.141991553E0	3.706067801E-4	1.204463840E-2	4.023933411E-2	4.200493629E-2
2.151991553E0	-1.750852913E-3	-5.036070943E-3	-2.918624878E-2	2.966925369E-2
2.161991553E0	-8.921060711E-3	-7.290557027E-3	6.179141998E-2	6.285632132E-2
2.171991353E0	1.726146787E-2	-3.106898069E-2	1.288251877E-1	1.336382012E-1
